:START_ID(Forum)|:END_ID(Tag)
0|8
0|72
0|138
0|205
0|565
0|578
0|596
0|774
0|1021
0|1022
0|1174
0|1548
0|1673
0|1682
0|1911
0|1985
0|1993
0|1994
0|1996
0|2004
0|2113
0|2115
0|2777
0|2779
0|2780
0|2785
0|2786
0|2798
0|2804
0|2806
0|2814
0|2854
0|2861
0|2894
0|2919
0|2954
0|2971
0|2982
0|3060
0|3066
0|3105
0|4958
0|5062
0|5744
0|5804
0|6399
0|6413
0|6588
0|6929
0|6981
0|6982
0|7603
0|8501
0|9177
0|9231
0|9377
0|10222
0|10496
0|11408
0|12273
0|12606
0|13928
0|14450
0|15137
412316860417|1994
2|2854
412316860419|1548
343597383684|3105
618475290629|2982
549755813894|14450
687194767367|1022
824633720840|138
1168231104521|9177
549755813898|72
618475290635|13928
412316860428|15137
481036337165|2971
137438953486|13928
549755813903|2894
68719476752|3105
618475290641|5804
549755813906|15137
412316860435|4958
824633720852|6982
618475290645|2785
412316860438|2894
343597383703|205
549755813912|1993
274877906969|9177
824633720858|2004
962072674331|1673
549755813916|6399
1168231104541|596
137438953502|596
824633720863|13928
68719476768|205
1099511627809|2919
481036337186|8501
1099511627811|205
68719476772|0
68719476772|290
68719476772|418
68719476772|565
68719476772|595
68719476772|774
68719476772|779
68719476772|784
68719476772|810
68719476772|1186
68719476772|1192
68719476772|1673
68719476772|1676
68719476772|1764
68719476772|1766
68719476772|1987
68719476772|1993
68719476772|1994
68719476772|1995
68719476772|1998
68719476772|2005
68719476772|2009
68719476772|2017
68719476772|2058
68719476772|2786
68719476772|2824
68719476772|2829
68719476772|2835
68719476772|2845
68719476772|2856
68719476772|2880
68719476772|2927
68719476772|2930
68719476772|2932
68719476772|2934
68719476772|2980
68719476772|2985
68719476772|3037
68719476772|3067
68719476772|3110
68719476772|5078
68719476772|5438
68719476772|5530
68719476772|5743
68719476772|6456
68719476772|6945
68719476772|6976
68719476772|7179
68719476772|7187
68719476772|7347
68719476772|7380
68719476772|7522
68719476772|7582
68719476772|7938
68719476772|9174
68719476772|9635
68719476772|10816
68719476772|10985
68719476772|11377
68719476772|11695
68719476772|12662
68719476772|13376
68719476772|15448
68719476773|416
68719476773|564
68719476773|591
68719476773|777
68719476773|1173
68719476773|1670
68719476773|1908
68719476773|1953
68719476773|1985
68719476773|1986
68719476773|1990
68719476773|2000
68719476773|2011
68719476773|2039
68719476773|2061
68719476773|2075
68719476773|2778
68719476773|2779
68719476773|2783
68719476773|2784
68719476773|2786
68719476773|2789
68719476773|2801
68719476773|2813
68719476773|2830
68719476773|2841
68719476773|2846
68719476773|2847
68719476773|2853
68719476773|2865
68719476773|2884
68719476773|2885
68719476773|2889
68719476773|2904
68719476773|2912
