:START_ID(Person)|:END_ID(Person)
17592186047852|19791209301253
17592186047852|19791209302493
17592186047852|24189255811142
17592186047852|24189255814231
17592186047852|28587302322210
17592186047852|30786325579441
17592186047852|30786325580027
17592186047852|32985348836478
17592186047852|35184372089376
17592186047852|37383395347256
37383395344880|37383395346236
8796093023924|8796093025231
8796093023924|13194139536124
8796093023924|13194139536333
8796093023924|21990232558229
8796093023924|21990232558830
8796093023924|26388279068706
8796093023924|26388279069969
8796093023924|28587302324554
8796093023924|28587302325677
8796093023924|30786325579441
8796093023924|30786325580816
8796093023924|32985348834149
8796093023924|32985348836174
15393162792196|15393162792310
15393162792196|15393162792564
15393162792196|17592186045571
15393162792196|17592186046354
15393162792196|17592186046893
15393162792196|17592186047233
15393162792196|17592186047934
15393162792196|17592186048233
15393162792196|19791209301800
15393162792196|19791209302624
15393162792196|19791209303673
15393162792196|21990232557311
15393162792196|21990232557996
15393162792196|21990232558577
15393162792196|24189255811142
15393162792196|24189255811288
15393162792196|24189255812207
15393162792196|26388279067814
15393162792196|26388279068336
15393162792196|26388279068745
15393162792196|26388279070088
15393162792196|28587302324340
15393162792196|28587302325151
15393162792196|28587302325432
15393162792196|28587302325952
15393162792196|30786325578485
15393162792196|30786325578838
15393162792196|30786325579552
15393162792196|30786325581158
15393162792196|32985348833353
15393162792196|32985348834074
15393162792196|32985348835151
15393162792196|35184372090512
15393162792196|35184372091695
15393162792196|35184372092021
15393162792196|35184372092483
15393162792196|37383395344780
15393162792196|37383395345374
35184372089700|35184372089927
35184372089700|35184372090001
35184372089700|35184372091854
35184372089700|37383395344906
35184372089700|37383395345499
35184372089700|37383395345643
35184372089700|37383395345868
35184372089700|37383395347062
26388279067812|28587302322216
26388279067812|28587302322659
26388279067812|28587302324736
26388279067812|28587302325046
26388279067812|30786325578329
26388279067812|30786325579292
26388279067812|32985348835236
26388279067812|32985348836478
26388279067812|35184372090810
26388279067812|35184372091475
26388279067812|37383395345592
26388279067812|37383395345970
26388279067812|37383395346277
26388279067812|37383395346304
13194139533512|13194139533535
13194139533512|13194139534158
13194139533512|13194139534351
13194139533512|13194139534613
13194139533512|13194139536647
13194139533512|13194139536981
13194139533512|15393162789559
13194139533512|15393162790446
13194139533512|15393162791017
13194139533512|15393162791259
13194139533512|17592186044544
13194139533512|17592186045103
13194139533512|17592186045958
13194139533512|17592186046810
13194139533512|17592186047323
13194139533512|17592186048101
13194139533512|19791209300210
13194139533512|21990232556050
13194139533512|21990232556237
13194139533512|21990232556268
13194139533512|21990232556526
13194139533512|21990232557482
13194139533512|21990232558296
13194139533512|21990232559118
13194139533512|24189255811382
13194139533512|24189255812638
13194139533512|24189255813056
13194139533512|24189255813818
13194139533512|24189255814296
13194139533512|24189255814342
13194139533512|26388279067033
13194139533512|26388279067122
13194139533512|26388279067754
13194139533512|26388279068406
13194139533512|26388279068422
13194139533512|26388279069987
13194139533512|26388279070397
13194139533512|26388279070454
13194139533512|28587302322797
13194139533512|28587302322887
13194139533512|28587302322935
13194139533512|28587302323987
13194139533512|28587302324180
13194139533512|28587302324658
13194139533512|28587302325046
13194139533512|30786325578374
13194139533512|30786325578419
13194139533512|30786325578937
13194139533512|30786325580151
13194139533512|30786325581110
13194139533512|32985348833489
13194139533512|32985348834288
13194139533512|32985348834368
13194139533512|32985348834501
13194139533512|32985348834843
13194139533512|32985348834988
13194139533512|32985348836532
13194139533512|35184372088937
13194139533512|35184372089922
13194139533512|35184372089927
13194139533512|35184372090001
13194139533512|37383395344761
13194139533512|37383395344906
13194139533512|37383395345330
13194139533512|37383395345643
13194139533512|37383395346021
13194139533512|37383395346055
13194139533512|37383395347307
24189255814820|26388279066720
24189255814820|26388279067089
24189255814820|26388279069539
24189255814820|26388279070088
24189255814820|26388279070132
24189255814820|26388279070231
24189255814820|28587302323138
24189255814820|28587302323171
24189255814820|28587302324015
24189255814820|28587302324340
24189255814820|30786325578254
24189255814820|30786325578838
24189255814820|30786325578939
24189255814820|30786325579507
24189255814820|30786325580367
24189255814820|32985348835486
24189255814820|32985348836351
24189255814820|32985348837063
24189255814820|35184372089927
24189255814820|35184372089945
24189255814820|35184372091506
24189255814820|35184372092310
24189255814820|35184372092660
24189255814820|37383395345374
24189255814820|37383395346478
30786325577956|30786325578375
30786325577956|30786325579589
30786325577956|30786325580318
30786325577956|30786325580975
30786325577956|32985348833942
30786325577956|32985348834149
30786325577956|35184372089563
30786325577956|37383395345612
30786325577956|37383395345678
30786325577956|37383395346443
30786325577956|37383395347713
37383395344756|37383395345223
37383395344756|37383395345330
37383395344756|37383395348145
2199023256528|2199023257249
2199023256528|2199023257596
2199023256528|4398046512272
2199023256528|4398046513298
2199023256528|6597069769091
2199023256528|10995116278346
2199023256528|15393162789721
2199023256528|24189255814595
2199023256528|32985348834149
2199023256528|35184372089927
21990232558604|21990232559277
21990232558604|24189255811382
21990232558604|24189255814231
21990232558604|24189255814769
21990232558604|26388279067788
21990232558604|28587302323649
21990232558604|30786325578319
21990232558604|30786325581158
28587302322764|30786325581187
24189255814732|26388279068876
24189255814732|26388279069969
24189255814732|28587302323698
24189255814732|30786325577956
24189255814732|30786325580270
24189255814732|32985348833942
24189255814732|32985348834279
24189255814732|32985348835825
24189255814732|37383395345678
24189255814732|37383395346443
24189255814732|37383395347569
8796093025168|10995116278346
8796093025168|10995116278391
8796093025168|10995116280114
8796093025168|10995116281191
8796093025168|13194139533512
8796093025168|13194139533673
8796093025168|13194139533859
8796093025168|13194139536273
8796093025168|15393162789721
8796093025168|15393162790116
8796093025168|15393162790813
8796093025168|19791209301253
8796093025168|19791209303676
8796093025168|21990232557549
8796093025168|21990232557648
8796093025168|21990232558207
8796093025168|21990232558967
8796093025168|24189255812791
8796093025168|24189255813941
8796093025168|24189255814769
8796093025168|26388279068026
8796093025168|28587302323154
8796093025168|28587302323806
8796093025168|28587302324712
8796093025168|28587302324775
8796093025168|30786325578319
8796093025168|30786325578901
8796093025168|30786325581158
8796093025168|35184372088966
8796093025168|35184372090512
8796093025168|35184372090585
8796093025168|37383395344908
8796093025168|37383395346478
28587302323508|28587302324907
28587302323508|30786325579292
28587302323508|32985348833400
28587302323508|32985348834631
28587302323508|32985348835336
28587302323508|32985348836440
28587302323508|32985348836584
28587302323508|35184372089679
28587302323508|35184372090137
28587302323508|35184372091068
28587302323508|35184372091854
28587302323508|37383395345113
28587302323508|37383395345725
28587302323508|37383395348231
140|555
140|1864
140|2199023259041
140|4398046511391
140|4398046511482
140|4398046512672
140|6597069766940
140|6597069770148
140|6597069770166
140|8796093024333
140|10995116279171
140|10995116279615
140|10995116280321
140|13194139534596
140|13194139535869
140|13194139535878
140|13194139536703
140|13194139537018
140|15393162789721
140|15393162789950
140|15393162790446
140|17592186045468
140|17592186045754
140|17592186046681
140|17592186047616
140|19791209301505
140|19791209302381
140|21990232559258
140|24189255812772
140|26388279068876
140|28587302325194
140|28587302325472
140|28587302325677
140|30786325578238
140|30786325578678
140|32985348834631
140|35184372088966
140|35184372089679
140|35184372092058
140|37383395344596
140|37383395346257
140|37383395347749
2199023256204|4398046513970
2199023256204|24189255814595
13194139535464|15393162789005
13194139535464|15393162789721
13194139535464|15393162790446
13194139535464|15393162792564
13194139535464|17592186045198
13194139535464|24189255812772
13194139535464|24189255813941
13194139535464|26388279067180
13194139535464|28587302325677
13194139535464|28587302325929
13194139535464|30786325578319
13194139535464|30786325579441
13194139535464|30786325579552
13194139535464|30786325580767
13194139535464|30786325581187
13194139535464|32985348836584
13194139535464|35184372089070
13194139535464|35184372092515
13194139535464|37383395345487
19791209300644|21990232559258
19791209300644|26388279068706
19791209300644|28587302323226
24189255812772|24189255813460
24189255812772|24189255813689
24189255812772|24189255813917
24189255812772|24189255814342
24189255812772|26388279066717
24189255812772|26388279066726
24189255812772|26388279066748
24189255812772|26388279066763
24189255812772|26388279067494
24189255812772|26388279067537
24189255812772|26388279067927
24189255812772|26388279068000
24189255812772|26388279068045
24189255812772|26388279068311
24189255812772|26388279068325
24189255812772|26388279068876
24189255812772|26388279068929
24189255812772|26388279069115
24189255812772|26388279070069
24189255812772|26388279070132
24189255812772|28587302322225
24189255812772|28587302322442
24189255812772|28587302322659
24189255812772|28587302323272
