:START_ID(Forum)|:END_ID(Person)
0|422
412316860417|422
2|422
412316860419|422
343597383684|422
618475290629|422
549755813894|422
687194767367|422
824633720840|422
1168231104521|422
549755813898|422
618475290635|422
412316860428|422
481036337165|422
137438953486|422
549755813903|422
68719476752|422
618475290641|422
549755813906|422
412316860435|422
824633720852|422
618475290645|422
412316860438|422
343597383703|422
549755813912|422
274877906969|422
824633720858|422
962072674331|422
549755813916|422
1168231104541|422
137438953502|422
824633720863|422
68719476768|422
1099511627809|422
481036337186|422
1099511627811|422
68719476772|2199023256282
68719476773|2199023258953
137438953510|4398046514730
206158430247|6597069767264
618475290664|6597069767264
1030792151081|6597069767264
1030792151082|6597069767264
343597383723|6597069767264
618475290668|6597069767264
481036337197|6597069767264
893353197614|6597069767264
1030792151087|6597069767264
412316860464|6597069767264
962072674353|6597069767264
412316860466|6597069767264
549755813939|6597069767264
1030792151092|6597069767264
893353197621|6597069767264
618475290678|6597069767264
1099511627831|6597069767264
412316860472|6597069767264
1099511627833|6597069767264
618475290682|6597069767264
274877907003|6597069767264
1099511627836|6597069767264
412316860477|6597069767264
1099511627838|6597069767264
549755813951|6597069767264
962072674368|6597069767264
206158430273|6597069767264
687194767426|6597069767264
481036337219|6597069767264
1030792151108|6597069767264
206158430277|6597069769302
274877907014|6597069769302
274877907015|6597069769302
274877907016|6597069769302
274877907017|6597069769302
274877907018|6597069769302
274877907019|6597069769302
274877907020|6597069769302
274877907021|6597069769302
206158430286|6597069769302
274877907023|6597069769302
274877907024|6597069769302
274877907025|6597069769302
274877907026|6597069769302
274877907027|6597069769302
274877907028|6597069769302
274877907029|6597069769302
274877907030|6597069769302
274877907031|6597069769302
274877907032|6597069769302
274877907033|6597069769302
274877907034|6597069769302
274877907035|6597069769302
274877907036|6597069769302
274877907037|6597069769302
274877907038|6597069769302
274877907039|6597069769302
274877907040|6597069769302
274877907041|6597069769302
206158430306|6597069770329
549755813987|6597069770329
343597383780|6597069770329
274877907045|6597069770329
824633720934|6597069770329
618475290727|6597069770329
412316860520|6597069770329
824633720937|6597069770329
893353197674|6597069770329
412316860523|6597069770329
1030792151148|6597069770329
343597383789|6597069770329
343597383790|6597069770329
412316860527|6597069770329
755914244208|6597069770329
687194767473|6597069770329
412316860530|6597069770329
962072674419|6597069770329
549755814004|6597069770329
1030792151157|6597069770329
824633720950|6597069770329
618475290743|6597069770329
