:START_ID(Person)|:END_ID(Tag)
17592186047852|58
17592186047852|139
17592186047852|477
17592186047852|543
17592186047852|588
17592186047852|589
17592186047852|783
17592186047852|785
17592186047852|790
17592186047852|803
17592186047852|976
17592186047852|1021
17592186047852|1032
17592186047852|1170
17592186047852|1176
17592186047852|1178
17592186047852|1182
17592186047852|1533
17592186047852|1617
17592186047852|1954
17592186047852|1987
17592186047852|1991
17592186047852|1997
17592186047852|2005
17592186047852|2021
17592186047852|2037
17592186047852|2049
17592186047852|2050
17592186047852|2112
17592186047852|2786
17592186047852|2789
17592186047852|2803
17592186047852|2811
17592186047852|2827
17592186047852|2830
17592186047852|2834
17592186047852|2841
17592186047852|2879
17592186047852|2881
17592186047852|2918
17592186047852|2945
17592186047852|2949
17592186047852|2952
17592186047852|2961
17592186047852|2992
17592186047852|2997
17592186047852|3009
17592186047852|3034
17592186047852|3040
17592186047852|3068
17592186047852|4847
17592186047852|4848
17592186047852|5063
17592186047852|5133
17592186047852|5142
17592186047852|5163
17592186047852|6404
17592186047852|6413
17592186047852|6429
17592186047852|6645
17592186047852|6960
17592186047852|6980
17592186047852|6981
17592186047852|7093
17592186047852|7317
17592186047852|7516
17592186047852|7545
17592186047852|7681
17592186047852|9058
17592186047852|9146
17592186047852|9244
17592186047852|9277
17592186047852|9559
17592186047852|11743
17592186047852|13816
37383395344880|140
37383395344880|292
37383395344880|1176
37383395344880|1186
37383395344880|1192
37383395344880|1424
37383395344880|1675
37383395344880|1996
37383395344880|2006
37383395344880|2123
37383395344880|2781
37383395344880|2867
37383395344880|2889
37383395344880|2912
37383395344880|2962
37383395344880|2968
37383395344880|3029
37383395344880|3030
37383395344880|3072
37383395344880|3108
37383395344880|5163
37383395344880|5633
37383395344880|6071
37383395344880|6355
37383395344880|6892
37383395344880|6981
37383395344880|6986
37383395344880|7380
37383395344880|7604
37383395344880|9238
37383395344880|10106
8796093023924|561
8796093023924|787
8796093023924|976
8796093023924|1154
8796093023924|1193
8796093023924|1198
8796093023924|1413
8796093023924|1545
8796093023924|1985
8796093023924|2055
8796093023924|2783
8796093023924|3108
8796093023924|4848
8796093023924|5063
8796093023924|6363
8796093023924|6369
8796093023924|6413
8796093023924|7005
8796093023924|7015
8796093023924|7522
37383395347996|138
37383395347996|140
37383395347996|206
37383395347996|280
37383395347996|448
37383395347996|543
37383395347996|544
37383395347996|570
37383395347996|576
37383395347996|592
37383395347996|775
37383395347996|778
37383395347996|783
37383395347996|1021
37383395347996|1029
37383395347996|1153
37383395347996|1154
37383395347996|1171
37383395347996|1200
37383395347996|1202
37383395347996|1410
37383395347996|1753
37383395347996|1759
37383395347996|1985
37383395347996|1989
37383395347996|1993
37383395347996|2027
37383395347996|2066
37383395347996|2091
37383395347996|2116
37383395347996|2777
37383395347996|2778
37383395347996|2780
37383395347996|2781
37383395347996|2783
37383395347996|2786
37383395347996|2788
37383395347996|2789
37383395347996|2795
37383395347996|2816
37383395347996|2825
37383395347996|2871
37383395347996|2880
37383395347996|2912
37383395347996|2990
37383395347996|3030
37383395347996|3038
37383395347996|3051
37383395347996|3086
37383395347996|4844
37383395347996|5119
37383395347996|5170
37383395347996|5183
37383395347996|5184
37383395347996|6072
37383395347996|6186
37383395347996|6438
37383395347996|6740
37383395347996|6962
37383395347996|7005
37383395347996|7507
37383395347996|7517
37383395347996|7526
37383395347996|7559
37383395347996|7602
37383395347996|9076
37383395347996|9162
37383395347996|9174
37383395347996|9195
37383395347996|9238
37383395347996|9283
37383395347996|9477
37383395347996|9738
37383395347996|10028
37383395347996|10822
15393162792196|6
15393162792196|9
15393162792196|148
15393162792196|588
15393162792196|790
15393162792196|806
15393162792196|808
15393162792196|973
15393162792196|976
15393162792196|1177
15393162792196|1179
15393162792196|1180
15393162792196|1545
15393162792196|1667
15393162792196|1670
15393162792196|1678
15393162792196|1762
15393162792196|2011
15393162792196|2048
15393162792196|2054
15393162792196|2061
15393162792196|2068
15393162792196|2082
15393162792196|2115
15393162792196|2837
